Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,profit_per_quantity,outlier_status
2013-07-29,29,July,2013,42,Adults (35-64),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2015-07-29,29,July,2015,42,Adults (35-64),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2012-08-22,22,August,2012,37,Adults (35-64),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1884,4342,6226,942.0,not outlier
2011-08-22,22,August,2011,37,Adults (35-64),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",4,2171,3578,3767,8684,12451,941.75,not outlier
2013-04-17,17,April,2013,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2015-04-17,17,April,2015,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1884,4342,6226,942.0,not outlier
2013-10-21,21,October,2013,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2015-10-21,21,October,2015,33,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2012-03-23,23,March,2012,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1884,4342,6226,942.0,not outlier
2011-03-23,23,March,2011,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2012-12-12,12,December,2012,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1884,4342,6226,942.0,not outlier
2011-12-12,12,December,2011,28,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,2826,6513,9339,942.0,not outlier
2014-01-25,25,January,2014,40,Adults (35-64),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2016-01-25,25,January,2016,40,Adults (35-64),M,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,2826,6513,9339,942.0,not outlier
2012-10-12,12,October,2012,32,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1884,4342,6226,942.0,not outlier
2011-10-12,12,October,2011,32,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,942,2171,3113,942.0,not outlier
2012-12-14,14,December,2012,40,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2313,4342,6655,1156.5,not outlier
2011-12-14,14,December,2011,40,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-10-30,30,October,2013,40,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-10-30,30,October,2015,40,Adults (35-64),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-07-12,12,July,2013,54,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-07-12,12,July,2015,54,Adults (35-64),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-11-29,29,November,2013,33,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-11-29,29,November,2015,33,Young Adults (25-34),F,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-12-02,2,December,2013,34,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-12-02,2,December,2015,34,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2014-01-21,21,January,2014,34,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2016-01-21,21,January,2016,34,Young Adults (25-34),M,Germany,Hessen,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
